actual author,RobinSidel,LynnleyBrowning,KouroshKarimkhany,MichaelConnor,JoeOrtiz,EricAuchard,AaronPressman,SimonCowell,LynneO'Donnell,EdnaFernandes,KevinMorrison,SamuelPerry,PatriciaCommins,JohnMastrini,JanLopatka,KevinDrawbaugh,KarlPenhaul,MartinWolk,ScottHillis,DavidLawder,FumikoFujisaki,MarcelMichelson,NickLouth,DarrenSchuettler,WilliamKazer,TanEeLyn,PierreTran,HeatherScoffield,MureDickie,RogerFillion,JimGilchrist,BradDorfman,AlanCrosby,JonathanBirt,BenjaminKangLim,TheresePoletti,KeithWeir,JoWinterbottom,MarkBendeich,JaneMacartney,MatthewBunce,ToddNissen,PeterHumphrey,TimFarrand,SarahDavison,GrahamEarnshaw,BernardHickey,KirstinRidley,AlexanderSmith,LydiaZajc
TanEeLyn,3,0,0,0,0,20,0,0,5,1,0,0,0,0,3,0,0,0,57,0,0,0,0,0,3,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PierreTran,4,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,0,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeatherScoffield,5,0,0,0,0,18,0,0,4,2,0,0,0,0,3,0,0,0,64,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MureDickie,1,0,0,0,0,15,0,0,2,2,0,0,0,0,1,0,0,0,45,0,0,0,0,0,9,3,0,0,4,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RogerFillion,1,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,1,35,0,0,0,0,0,2,1,0,1,0,39,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JimGilchrist,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,79,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BradDorfman,3,0,0,0,1,32,0,0,4,0,0,0,0,0,6,0,0,0,51,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlanCrosby,2,0,0,0,2,49,0,0,5,0,0,0,0,0,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JonathanBirt,3,0,0,0,0,29,0,0,8,2,0,0,0,0,4,0,0,0,44,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BenjaminKangLim,3,0,0,0,0,6,0,0,1,5,0,0,0,0,7,0,0,0,45,0,0,0,0,0,11,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheresePoletti,1,0,0,0,0,25,0,0,1,2,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KeithWeir,4,0,0,0,0,15,0,0,2,7,0,0,0,0,2,0,0,0,63,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JoWinterbottom,2,0,0,0,0,23,0,0,3,1,0,0,0,0,2,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MarkBendeich,1,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,62,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaneMacartney,5,0,1,0,0,6,0,0,5,5,0,0,0,0,2,0,0,0,45,0,0,0,0,0,12,3,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MatthewBunce,0,0,0,0,1,13,0,0,11,1,0,0,0,0,1,0,0,0,58,0,0,0,0,0,0,2,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ToddNissen,0,0,0,0,0,14,0,0,0,4,0,0,0,0,1,0,0,0,69,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PeterHumphrey,6,0,0,0,0,16,0,0,1,2,0,0,0,0,9,0,0,0,47,0,0,0,0,0,7,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TimFarrand,7,0,0,0,1,39,0,0,2,0,0,0,0,0,1,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SarahDavison,5,0,1,0,0,18,0,0,6,2,0,0,0,0,4,0,0,0,56,0,0,0,0,0,4,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrahamEarnshaw,3,0,0,0,0,14,0,0,26,1,0,0,0,0,3,0,0,0,44,0,0,0,0,0,4,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BernardHickey,0,0,0,0,0,48,0,0,3,1,0,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KirstinRidley,1,0,0,0,0,10,0,0,3,1,0,0,0,0,2,0,0,0,73,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexanderSmith,2,0,0,0,0,18,0,0,10,5,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LydiaZajc,1,0,0,0,0,32,0,0,6,0,0,0,0,0,2,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
