Read Time: 0.10151410102844238
Processing Time: 2.641685962677002
Number of Iterations: 9999

Damping Factor: 0.85

Rank    Node                          Page Rank           
1.0     Idaho State                   44209538162484245260095443356728887259084396509328404660617216.000000000000000000
2.0     Indiana State                 33041364200018374430492383732114915936074773186978509993541632.000000000000000000
3.0     Howard                        30072436063419825030464630139148127438869762598280077326155776.000000000000000000
4.0     Northern Colorado             25813803331497136367703809641170282040919268435619606438084608.000000000000000000
5.0     St. Francis (PA)              23698049223060552120007965622229555007007424002302205767974912.000000000000000000
6.0     Southern Methodist            21444039496454315603951836022676776659031349411479707474460672.000000000000000000
7.0     North Texas                   20225403875936451147618523713620070771186236226230485751169024.000000000000000000
8.0     Washington                    17658561198428909342470311654290765266818461449723307448336384.000000000000000000
9.0     Dartmouth                     17045549958851565821798927672565925419563698926871607483826176.000000000000000000
10.0    Western Kentucky              16120671657351913468546959169330677930520142154954826663854080.000000000000000000
11.0    Concordia College             14841979896382139731902449203762542901433954389683728495411200.000000000000000000
12.0    Texas College                 13996577534505668795398745281186740042420178650163958027124736.000000000000000000
13.0    Alcorn State                  13176902051200933359390329428156496518209193229128498465996800.000000000000000000
14.0    Campbell                      13097625096626752443265767837998925060925165298970561163034624.000000000000000000
15.0    Miami (OH)                    13037815961787628711801324128327964902428969868872109684424704.000000000000000000
16.0    Chattanooga                   12132601591993065859953896213118533265835804697344131379232768.000000000000000000
17.0    Austin Peay                   11969345432720294679256476573093241340687124326604221022470144.000000000000000000
18.0    Carthage                      11511424157503824198153796213735165487016388270859096707563520.000000000000000000
19.0    Webber International          11313680108385061047084899271623554256124107247897860366139392.000000000000000000
20.0    Cumberland University         10702942119810625647254616100173746578492690860311533777321984.000000000000000000
21.0    Tennessee Tech                9779257842506415615245514785571483353257956283068284737159168.000000000000000000
22.0    Idaho                         9743402204266785405666620646662750433624955332983133944414208.000000000000000000
23.0    Savannah State                9672763797439657505810667095178054505419100237617747969703936.000000000000000000
24.0    Mississippi Valley State      9406547560114010639505711996717093399413223266896404142882816.000000000000000000
25.0    North Greenville              8823362374384715858686413783646755270977672395086956790284288.000000000000000000
26.0    Central Methodist             8731346463495749337028493105239820571237462615038079105236992.000000000000000000
27.0    Tulane                        8657789334270484312589351817163062099126443830771828517765120.000000000000000000
28.5    Clark Atlanta                 8642127369717871539191557642380702445600436647722390481010688.000000000000000000
