Read Time: 0.10151410102844238
Processing Time: 2.641685962677002
Number of Iterations: 9999

Damping Factor: 0.85

Rank    Node                          Page Rank           
28.5    Livingstone                   8642127369717871539191557642380702445600436647722390481010688.000000000000000000
30.0    Winston-Salem                 8488058548746654220529416649392933226555764930477731520446464.000000000000000000
31.0    Southern Oregon               8361151634321592474528328448730800066033234338026932597161984.000000000000000000
32.0    Northeastern                  7637812894320400816055810679591389703120699019910146338848768.000000000000000000
33.0    Sacramento State              7552610935063347816704802258307562788322516441627336198062080.000000000000000000
34.0    New Mexico State              7355490210278011990091875497210508877772579509557985015758848.000000000000000000
35.0    Central State                 7314020675190411988925901952031787705185107926594628702175232.000000000000000000
36.0    Arkansas-Pine Bluff           7079686838910615446109399093274104729013177403955644588883968.000000000000000000
37.0    Columbia                      6915300808195305526949825399296721032351498982123894919397376.000000000000000000
38.0    Washington State              6915284496939132836371933707521766457534719388181556430372864.000000000000000000
39.0    Iowa State                    6902477649847549841930041614962966156580067255708182672048128.000000000000000000
40.0    Humboldt State                6865895497473742992158275578157333884334212466281827149021184.000000000000000000
41.0    Eastern Michigan              6758368978232337792863500133608765107592378572210634957520896.000000000000000000
42.0    San Diego State               6573343193031392574096982009923594272356884540533506635202560.000000000000000000
43.0    Southeast Missouri State      6554970391481062607835234318101600212946071541016326723076096.000000000000000000
44.0    Lincoln (MO)                  6469686871366844844160846382595571340768579878636640251412480.000000000000000000
45.0    Murray State                  6395264156248998806426782269834936934078533848635486322556928.000000000000000000
46.0    North Carolina A&T            6391875623777195321450023709207615156339722869206414253883392.000000000000000000
47.0    Edward Waters                 6123558753858715128044448197005016111365449748194214067306496.000000000000000000
48.0    Iona                          6122282915355020324969106968256279366685442807083381815246848.000000000000000000
49.0    Texas Southern                6039887305491698231620104799644649740694565023212655385509888.000000000000000000
50.0    Southwest Baptist             6030087399859653077706862422571415465965471702030892434194432.000000000000000000
51.0    Lambuth                       5896287941221860942259198327277764654193010386997150715215872.000000000000000000
52.0    Johnson Smith                 5893449080173985070563623922010040592729550127853326703788032.000000000000000000
53.0    Toledo                        5702015929914459598868681185973063531864090386948956054618112.000000000000000000
55.0    Pace                          5667588402992732842771889467341074471116952726052732831531008.000000000000000000
55.0    Stonehill                     5667588402992732842771889467341074471116952726052732831531008.000000000000000000
55.0    Delaware Valley               5667588402992732842771889467341074471116952726052732831531008.000000000000000000
57.0    Kent State                    5617240638423177740066118157261233869558093422439003165032448.000000000000000000
58.0    Shaw                          5598558612278399378995472926944401438180055519588881163878400.000000000000000000
59.0    Wagner                        5514625310871662783240448059399490850359790758931449444827136.000000000000000000
60.0    Georgetown                    5466811155719291798999710246293853760834933155730022689931264.000000000000000000
61.0    Illinois State                5433086881873760929888256684410425546753569433480105945989120.000000000000000000
62.0    Portland State                5397962455917079807855089723296414293356753824582896728408064.000000000000000000
63.0    Towson                        5338559001820584242126970802605395477480954870981660304736256.000000000000000000
64.0    Louisiana-Monroe              5285940600632624583413295619003903672477534923473319180107776.000000000000000000
65.0    Western Oregon                5060763721337384946564900378535614134368780668153594629849088.000000000000000000
66.0    Army                          4809227392685309362404177134292966983359206424031256815599616.000000000000000000
67.0    Michigan                      4786319384850184033961444506562846620032196711872940361121792.000000000000000000
68.0    Nicholls State                4759356788097319764570339996192275492711285242545164219580416.000000000000000000
69.0    Rhode Island                  4739619840346053905448939337661715507385876964716176547512320.000000000000000000
70.0    Western Washington            4639633933056084970993288132549664418117140857204913823809536.000000000000000000
71.0    Langston                      4400269778731304781618807151198668250622388944800941300776960.000000000000000000
72.0    Presbyterian                  4365677850418770107229897769459519989019944127058168451694592.000000000000000000
73.0    Eastern Illinois              4351604222189167162841605870496506671145269184057982152867840.000000000000000000
74.0    Marist                        4320697102741041627759188177834397099746650992553982894800896.000000000000000000
75.0    Fayetteville State            4195931354741916613958191077729558818466703029814802685886464.000000000000000000
76.0    Alabama State                 4187834065702319220742369244554643150200660585778567740129280.000000000000000000
77.0    Bowling Green                 4147934945805353370116393782760692080857160895217839028305920.000000000000000000
78.0    Adams State                   4106469260448125834085625416652425355105184085989132035162112.000000000000000000
79.0    Delaware State                4096273194672007818031298490293608981860888883981489918705664.000000000000000000
80.0    Tuskegee                      4046936532576206355760596982263664331669700014368619134713856.000000000000000000
81.0    Indiana                       4017584388949131115719713868543881015136121717881703195738112.000000000000000000
82.0    Ohio                          4016195559280301988668762537757719498107716026974558165663744.000000000000000000
83.0    North Carolina Central        3923495283744770988453003967765844108666699642286506529259520.000000000000000000
84.0    UC Davis                      3921484978718436485449022386530000471779149344293595377565696.000000000000000000
85.0    Utah State                    3901882168805256082004202731365358685772807133780639853051904.000000000000000000
86.0    Gardner-Webb                  3864143395209158853926272066244177587031474488791813427560448.000000000000000000
87.0    Youngstown State              3838986299480416553775972281339950781038516952109027468247040.000000000000000000
88.0    Virginia Military Institute   3820420431595804721949570275596835067660012595703706206339072.000000000000000000
89.0    Tusculum                      3775753404283458087548682687909085179947921071005466173112320.000000000000000000
90.0    Stephen F. Austin             3759883001901583341995590820776633431860652143594655568625664.000000000000000000
91.0    Chowan                        3739122969328897394180651281841174953657357500419004598059008.000000000000000000
92.0    Syracuse                      3725746370176310973987204159280195129963601376924786818547712.000000000000000000
93.0    Southeastern Louisiana        3715484544588036594868148379066317275019553131338975303172096.000000000000000000
94.0    Kentucky Wesleyan             3688405630030026127877817687729560900484356454099361223147520.000000000000000000
95.0    Duquesne                      3579606429832247874641315740480561736628185549200348455895040.000000000000000000
96.0    Southern Virginia             3578223391321491492707565619029444915475798810111749484707840.000000000000000000
97.0    UCF                           3471975756336291826912788962797312041697563898709764621729792.000000000000000000
98.0    Texas State                   3419482581415498278766331521864147311770107647897636006002688.000000000000000000
99.0    Angelo State                  3403223326941273923528417766433882504899232177869597939073024.000000000000000000
100.0   Wyoming                       3397224952775716695262420658676437291593897938503056628908032.000000000000000000
101.0   UAB                           3315521869284941925002564288900358160324596958253617179000832.000000000000000000
102.0   Shorter                       3296193990315686896285114536594710708912410574034300259270656.000000000000000000
103.0   Marshall                      3294237841629080179564039827972744955645787501780306084495360.000000000000000000
104.0   Western Carolina              3291729804342378817223314272676798408381998997115485680566272.000000000000000000
105.0   Cornell                       3291597933741662761505340932983846657313310727381648823812096.000000000000000000
106.0   Missouri S&T                  3271318345344754446977011164917318356985154465063510078390272.000000000000000000
107.0   Lenoir-Rhyne                  3269284136292307177489432862315822946396123266252803305111552.000000000000000000
108.0   Davidson                      3259609558711544531304307025066980501452869661582782191632384.000000000000000000
109.0   East Central Oklahoma         3189804613707997333932972600351997523761086260317528780701696.000000000000000000
110.0   Akron                         3173213111470769236292612193195342139777585523793357975846912.000000000000000000
111.0   Sam Houston State             3164740898858859115255644957958378636675121078456012270206976.000000000000000000
112.0   Alabama A&M                   3108712367067920838443610741633513763122280092536130433449984.000000000000000000
113.0   Middle Tennessee State        3098902678415361846082364536422633371266790862661638902775808.000000000000000000
114.0   Concordia University (WI)     3036568418793819316245172588345965238917240887952818049122304.000000000000000000
115.0   Valparaiso                    2981834510147070815910588508998585714412828560196491177623552.000000000000000000
116.0   Quincy                        2921398020133791820168411286591374016630961174113352859779072.000000000000000000
117.0   UTEP                          2881256010954634402525346902899214020533274721286538689249280.000000000000000000
118.0   Florida International         2870016743134747037011602320628653478649487838830923253547008.000000000000000000
119.0   Mississippi State             2801459564330328924133434981603120225834213851135011016671232.000000000000000000
120.0   Eastern Washington            2778558628737272864679101242513276597830722119812997311365120.000000000000000000
121.0   Southern Utah                 2754358499012684524056410791539714543400684585161387929501696.000000000000000000
122.0   Temple                        2754020631337433682697203241714125928650486748586495398903808.000000000000000000
123.0   Charleston Southern           2743044752346330080705888686324702219613781019990815015960576.000000000000000000
124.0   Virginia State                2716115179703407512646256464897838308239469569807556347428864.000000000000000000
125.0   New Mexico                    2696437993857395613978053439444723571832816436469285108318208.000000000000000000
126.0   UNLV                          2676717593920117528547333355747542383488736286204116084981760.000000000000000000
127.0   Texas A&M                     2614129022318837543486868669589822704152364802810265594757120.000000000000000000
128.0   Duke                          2612771631431743417429255633455603052464008345514392250482688.000000000000000000
129.0   Eastern Kentucky              2608520209703342760560399321893830381555575530949515021385728.000000000000000000
130.0   Norfolk State                 2599333856526371308696604775309757068898398749942370325757952.000000000000000000
131.0   Morgan State                  2441196569614718196614458514471783000622907498882242751496192.000000000000000000
132.0   Memphis                       2407722629062137177959009832395004009539651349154566984695808.000000000000000000
133.0   Missouri State                2384509571818690429458899606942852748446373817927426633629696.000000000000000000
134.0   Tennessee                     2362617975917501147957246741855668077694846947025096408039424.000000000000000000
135.0   UCLA                          2336599020514681553403290968215063649897099876464283237744640.000000000000000000
136.0   Hampton                       2331018497426050414479749988099573087887232150334052451221504.000000000000000000
137.0   West Chester                  2327802706154600796949515088013302131572890654835961071927296.000000000000000000
138.0   Bucknell                      2318140326774437575539189228538650316107790863321596939993088.000000000000000000
140.0   Wisconsin-La Crosse           2311799708060427867753288749821694277317006637081810547245056.000000000000000000
140.0   Texas A&M-Kingsville          2311799708060427867753288749821694277317006637081810547245056.000000000000000000
140.0   St. Cloud State               2311799708060427867753288749821694277317006637081810547245056.000000000000000000
142.0   Hofstra                       2290691522829846824954909477400230426293275657942187630395392.000000000000000000
143.0   Purdue                        2286764186230230503653367633713422694816172071004703287148544.000000000000000000
144.0   Louisville                    2280498845594450423039259077496591684257051520764429843038208.000000000000000000
145.0   Stony Brook                   2273273689220041776096291565879891692587548440043046643433472.000000000000000000
146.0   Louisiana-Lafayette           2185806088330698668903391818880650870353592599786198791094272.000000000000000000
147.0   North Dakota State            2165842417551650445431804608624787403345252299273529641140224.000000000000000000
148.0   Arkansas State                2158507435107063627924901002756133689689988719417870973403136.000000000000000000
149.0   Princeton                     2157958930563001816721338956525240967983999793639665023582208.000000000000000000
150.0   Citadel                       2144733126860341772143790809743486534855973992262696194539520.000000000000000000
151.0   Delaware                      2135834796997180535882181080494934365559150000121145173475328.000000000000000000
152.0   Tennessee State               2135710125754064833264824370618895167567667753813374450794496.000000000000000000
153.0   Coastal Carolina              2131185446111093136685913607620166461052596706816148111360000.000000000000000000
154.0   North Dakota                  2116733235570351635306673320752787913319085833605068273745920.000000000000000000
155.0   Virginia                      2066613537487504977399291154740117937442577979038156007145472.000000000000000000
156.0   Nevada                        2059996003967731196968338308068784632628814649046999496654848.000000000000000000
157.0   Delta State                   2039539092964424947652590360522268043410835076458780397928448.000000000000000000
158.5   St. Ambrose                   2033688884072998693806646685040405666749012632911173572886528.000000000000000000
158.5   Culver-Stockton               2033688884072998693806646685040405666749012632911173572886528.000000000000000000
160.0   Lehigh                        2004779830917772480677120969211398106001251337196108190318592.000000000000000000
161.0   Robert Morris                 1992467866574540770830107195574557022218097529498359595794432.000000000000000000
162.0   Stanford                      1985397800677431486691147908289406065712907784879377689346048.000000000000000000
163.0   Northern Illinois             1977973099387830750873436877605259067105111348295077191483392.000000000000000000
164.0   Fordham                       1962191710278218528095529006455880154028607728856283635253248.000000000000000000
165.0   Southern Miss                 1959597039591505917335448741521936249474635192325480822865920.000000000000000000
166.0   Hawaii                        1939721187364127764798352874116946728391180132210067537657856.000000000000000000
167.0   Arkansas                      1935346034685582563936624934598596027643154033045158517276672.000000000000000000
168.0   Baylor                        1931886294206337153708746995950082645606711615714024566554624.000000000000000000
169.5   Southeastern Oklahoma         1925252710878884581196793990862140020961063338192331146788864.000000000000000000
169.5   Texas A&M-Commerce            1925252710878884581196793990862140020961063338192331146788864.000000000000000000
171.0   Rhodes                        1904596263357782514806099729769228709522446391895461982109696.000000000000000000
172.0   New Mexico Highlands          1903013930570126628744494059362493671765549948292355409838080.000000000000000000
173.0   Auburn                        1898434863537734134193829330204285157351615916213915244036096.000000000000000000
174.0   South Dakota State            1878350984579461463694429463762742287142149813317090400010240.000000000000000000
175.0   Kansas State                  1861414664778107357443231433802975209140838656913142418767872.000000000000000000
176.0   Arizona State                 1846722178598424633067870896904158887167590893017700327489536.000000000000000000
177.5   Merrimack                     1840191339534980350305324634155804569597054627656067975217152.000000000000000000
177.5   Southern Connecticut State    1840191339534980350305324634155804569597054627656067975217152.000000000000000000
179.0   Morehead State                1836610394415245424302387777146716720708475586349332651048960.000000000000000000
180.0   Western Illinois              1833111307153939158626729430037581807176382562243357679026176.000000000000000000
181.0   Central Michigan              1818826788586870962283163554559648475142056481560834974154752.000000000000000000
182.0   Monmouth                      1804892336685593239803265528010704981133263573237756938158080.000000000000000000
183.0   Illinois                      1802257824925262597203849047105251175487237322177388547670016.000000000000000000
184.0   McNeese State                 1791756451047937434806117144933536980425969294556551507345408.000000000000000000
185.0   South Dakota                  1784773501737954591023650475451719579837532501925785830948864.000000000000000000
186.0   Colorado                      1784593588812094807015208925603911973410186967590300947578880.000000000000000000
187.0   Vanderbilt                    1778572200006175406446189015025821076203876067624576173998080.000000000000000000
188.0   Albion                        1776062208496903894171188764873941381571655506197052343189504.000000000000000000
189.0   Minnesota                     1753076872949628242099015479608202725545424363302477992296448.000000000000000000
190.0   Buffalo                       1740903715328656604041426688761935930770879858435930172948480.000000000000000000
191.5   William Penn                  1739096544169792049717959041346971022240700289241021795008512.000000000000000000
191.5   Upper Iowa                    1739096544169792049717959041346971022240700289241021795008512.000000000000000000
193.0   Florida Atlantic              1732236408771725838097634351215206147115821965553647711420416.000000000000000000
194.0   San Jose State                1719127304345415385010737554224981245883842021225111817814016.000000000000000000
195.0   North Carolina State          1705468642430335006071560973196935597167566898073679647735808.000000000000000000
196.0   Baker University              1678159408836164738905144027941526135752997208088104430206976.000000000000000000
197.0   Stillman                      1662341189147379743410093811129310406134543907474461176102912.000000000000000000
198.0   Northwestern State            1655341490875446592622053853385324243841687544868792799592448.000000000000000000
199.0   Northern Arizona              1628796750594549649304254058793282068343371863400905476931584.000000000000000000
200.0   Wisconsin                     1599744978815031029504045603796842548683060278219593828270080.000000000000000000
201.0   Fresno State                  1592996826834708452743122632182919111375708037476049802493952.000000000000000000
202.0   Notre Dame                    1584033523372324641821063442122568145768902231606982856409088.000000000000000000
203.0   Troy                          1561303469548125816113305427204069798312969931201431543480320.000000000000000000
204.0   Bryant University             1553810202787150433327864913341557776245820105542291683278848.000000000000000000
205.0   Yale                          1515972057398149083187543659875364522134875424805549078740992.000000000000000000
206.5   West Georgia                  1515797724258827506352988143694708336515685888825983363973120.000000000000000000
206.5   Faulkner                      1515797724258827506352988143694708336515685888825983363973120.000000000000000000
208.0   Montana State                 1504535255109283960032882852041030536647316155204377864306688.000000000000000000
209.0   Butler                        1477264137570841860177454417973556337096647735433814503063552.000000000000000000
210.0   Mars Hill                     1440092643555333316672747078437341650572216298306533779832832.000000000000000000
211.0   Drake                         1433141036157427648771579271683014741793794172959182360150016.000000000000000000
212.0   Kentucky                      1423598723429353114944195723918955365550736353890938252165120.000000000000000000
213.0   Louisiana Tech                1417833764879948080379064320427472096932578046543292258058240.000000000000000000
214.0   Brown                         1410276866168040878648818937296895411420354951228108277022720.000000000000000000
215.5   Dixie State                   1403834075000197622207279100982121144524546800001308503834624.000000000000000000
215.5   Montana-Western               1403834075000197622207279100982121144524546800001308503834624.000000000000000000
217.0   Southern University           1393695905546520514991433202314736773016429677559927059513344.000000000000000000
218.0   Maryland                      1389931738363744073839761941125866265710252852338287397830656.000000000000000000
219.0   Henderson State               1385645203948408655012958040811151406418938749173500095758336.000000000000000000
220.0   Benedict                      1373342589568074259076393575243634447302779894395266473656320.000000000000000000
221.0   Glenville State               1372526391364222067534898014164016889454495518950757637292032.000000000000000000
222.0   Tennessee-Martin              1360405013388410613630144774354769434116131270594691170566144.000000000000000000
223.0   Central Connecticut State     1359534811449580583231198244842645658513841708090097322164224.000000000000000000
224.5   Assumption                    1345890257917050973545205108162256376477367706994851128016896.000000000000000000
224.5   Bentley College               1345890257917050973545205108162256376477367706994851128016896.000000000000000000
226.0   Jackson State                 1341524007887419871734153256464478648607891598687589533483008.000000000000000000
227.0   East Carolina                 1323880317325361617660917088404260489896903489199730845548544.000000000000000000
228.0   Miami (FL)                    1311821903832063539337240469936939374366193084437881675579392.000000000000000000
229.0   Navy                          1309084630197289087179105647557558823245983919929581855834112.000000000000000000
230.0   South Carolina                1306322957929263457128141271571048666122466340626684081864704.000000000000000000
231.0   Houston                       1282483173809515124091526094438444767312480292419041170030592.000000000000000000
232.0   North Carolina                1281887697958391890948360145359310778046672056257906667945984.000000000000000000
233.0   Arizona                       1260988974804991654323775787167568625227422162214932287848448.000000000000000000
234.0   Clemson                       1259742404128919506310418062140799974901639839857898103504896.000000000000000000
235.0   Wake Forest                   1254711302441020409115505855823094932800572115479752937046016.000000000000000000
236.0   Florida A&M                   1239755273366486808225638714972712062858589486635988755152896.000000000000000000
237.0   Colorado State                1211783987672459280260764589635142804839209697547711485575168.000000000000000000
238.0   South Florida                 1206340913920564411469209506961164715179971135409074129076224.000000000000000000
239.0   Bethune-Cookman               1201601929964778496105266690458141424372402354029630341513216.000000000000000000
240.0   Pittsburgh                    1185716595329506839850080936955393681150996201129307445133312.000000000000000000
241.0   Samford                       1166606221870289678766602792265762977054130963629367088906240.000000000000000000
242.0   Rutgers                       1160024903163180880183960962518955812999792052683137162936320.000000000000000000
243.0   Azusa Pacific                 1159839536636466383058996375550802469279540829713546218569728.000000000000000000
244.0   Connecticut                   1150163288239508003649704776278205615017944184236976849813504.000000000000000000
245.0   Georgia Southern              1141167911595875003773127876450660400216814622693084756967424.000000000000000000
246.0   Dayton                        1139805202869648126996201087950131142757901232317319499218944.000000000000000000
247.0   Northwestern                  1126082752409472846424688322606060182358268072638037822013440.000000000000000000
248.0   Boston College                1123430859641989858618557142243237677201054083273963815829504.000000000000000000
249.0   Lafayette                     1091109809442019703548961012356851640871829360890707760381952.000000000000000000
250.0   Central Washington            1079748627662533578163359168911349596419131526002897158406144.000000000000000000
251.0   Pennsylvania                  1077384742266490876392683404334094166726192244279125496299520.000000000000000000
252.0   Furman                        1076242826157119414072923564523252511120434364222144637829120.000000000000000000
253.0   Jacksonville State            1062398153761602170385579114320312567582503621876817275650048.000000000000000000
254.0   Morehouse                     1055788967930123785480257062406093158760291288261800956526592.000000000000000000
255.0   LSU                           1049864031631217851943188908219871835809750415862737473110016.000000000000000000
256.0   Jacksonville                  1044096143902810271527371278781779637384167801114269612769280.000000000000000000
257.0   Georgia Tech                  1034415945652906990138699605435537246628539895311291713060864.000000000000000000
258.0   Weber State                   1032963731175721531704365958673690192666325459165637861441536.000000000000000000
259.0   Holy Cross                    1028986108342112973490783329133631004260316621059089967874048.000000000000000000
260.0   Central Arkansas              1011253059485587749317072906460888789362885897272048404660224.000000000000000000
261.0   William & Mary                1010888391397866895596157706331357917211552571944107073601536.000000000000000000
262.0   Air Force                     1009525333616173818992706395888975265509187032720683634262016.000000000000000000
263.0   West Virginia                 1007439574034009951237356861454486148527633499501126507036672.000000000000000000
264.0   Mississippi                   999933024166826913734649162472870476367342029284076695846912.000000000000000000
265.0   Massachusetts                 998727529452579739095696447294594699683662868640435768655872.000000000000000000
266.0   Iowa                          997565874835991631032220526288325305124022865140229276172288.000000000000000000
267.0   South Carolina State          996568364598188543248103488911256546731300548958264263442432.000000000000000000
268.0   Liberty                       995594130893003341345615304626657455988894560647220400488448.000000000000000000
269.0   Sacred Heart                  963800604691208282541642991452756175499733118224625217568768.000000000000000000
270.0   Kansas                        945978869062406903912374998366748764216520380951892313767936.000000000000000000
271.0   Virginia Tech                 929791449634354530170840551104330347820017380532695804674048.000000000000000000
272.0   Western Michigan              926463653832386409898232850943304536854060297626105711427584.000000000000000000
273.0   California                    925086880976068413767550235928528608469387479355966508498944.000000000000000000
274.0   Colgate                       914342543619297746665215251152167565646085605186618710294528.000000000000000000
275.0   Florida State                 912218031037392196209973455523956989182842176302631010435072.000000000000000000
276.0   Southern Illinois             912055337739481463297392660743681117414583849206260724400128.000000000000000000
277.0   Maine                         908926857924134062509879311347815046609477316070930663866368.000000000000000000
278.0   Oregon State                  901392116560142716994509885991773948848522252614079604588544.000000000000000000
279.0   Albany                        897406871001696665482393370479947994497766103814791942373376.000000000000000000
280.0   Tulsa                         884339590135747415355915912287155122518091110934908220997632.000000000000000000
281.0   Elon                          884105515353296059928763284286150465306073600057870775222272.000000000000000000
282.0   Cal Poly                      881802654516393014919636531711040094181371467441300622540800.000000000000000000
283.0   Grambling State               849698080569436817922552398776928644566333277080387802103808.000000000000000000
284.0   Michigan State                818233407942539014372432327192081420054809680046771455131648.000000000000000000
285.0   Nebraska                      817416743686343495194032324906572565225447149619535899787264.000000000000000000
286.0   Rice                          810508076305851421167551233355169330805480973279487999344640.000000000000000000
287.0   Wofford                       801837785680346788062518361602233220168579787622889402925056.000000000000000000
288.0   James Madison                 786637863286084332973130875805654592904554044037602614444032.000000000000000000
289.0   Missouri                      783973986729309021743270102065269837788521682347611754856448.000000000000000000
290.0   Oklahoma State                778875896516569872355468349594517106928166641378026548363264.000000000000000000
291.0   Richmond                      766696192658254236416811196231946806116439260106316603981824.000000000000000000
292.0   Cincinnati                    744169431624898694635708776449242544530229632207300392386560.000000000000000000
293.0   San Diego                     741726012159635628703842297717168240943451543496374108553216.000000000000000000
294.0   Brigham Young                 741694872488326365566609744917978971514323970557414754746368.000000000000000000
295.0   Appalachian State             736698186004283116139392159068947184842786485647761475633152.000000000000000000
296.0   Georgia                       727386973637839542936144153572944848086803203225909611986944.000000000000000000
297.0   New Hampshire                 721758602946030014828495087050993395171046237709527932731392.000000000000000000
298.0   Ball State                    721715161837420022384841325474775550431741533008000935002112.000000000000000000
299.0   Oregon                        715091503400715350689868041869481524659364394788270823702528.000000000000000000
300.0   Northern Iowa                 707417183919890332797815674238006125873871462807519885262848.000000000000000000
301.0   Ohio State                    693106177688574867034218813303695755661725824663956121190400.000000000000000000
302.0   Villanova                     688737830504393313358544316979613597286195056055224683724800.000000000000000000
303.0   Harvard                       669711474173407807713818134193428168607226124551575876665344.000000000000000000
304.0   Texas Tech                    661912541539924222060176560642644494545733046792199644119040.000000000000000000
305.0   Penn State                    660210838169549295498026430570556051062483001388141224394752.000000000000000000
306.0   Montana                       646127586883734698638339260997527446528486583241241738084352.000000000000000000
307.0   TCU                           626763639371764108704372936543326686257642611002799594405888.000000000000000000
308.0   Oklahoma                      621339782600724278512622291372505172480610916596293084119040.000000000000000000
309.0   Alabama                       618113494948117765918369595918682763205014339398250650402816.000000000000000000
310.0   Prairie View A&M              617528763747512297100741878969718849573048032088419809099776.000000000000000000
311.0   Florida                       602873416689383399376346832371096567443396985238213846106112.000000000000000000
312.0   USC                           601363799479134747766070764205828762662690785840735620956160.000000000000000000
313.0   Texas                         584644436870471019430076440807175271061484010780306505203712.000000000000000000
314.0   Boise State                   582190502163946271454338597283674745412410259347891587907584.000000000000000000
319.5   Birmingham Southern           538432747225147962594862696752043559049767492857823789842432.000000000000000000
319.5   St. Francis (IL)              538432747225147962594862696752043559049767492857823789842432.000000000000000000
319.5   Wesley College                538432747225147962594862696752043559049767492857823789842432.000000000000000000
319.5   Arkansas-Monticello           538432747225147962594862696752043559049767492857823789842432.000000000000000000
319.5   North Carolina Pembroke       538432747225147962594862696752043559049767492857823789842432.000000000000000000
319.5   Methodist                     538432747225147962594862696752043559049767492857823789842432.000000000000000000
319.5   Marian                        538432747225147962594862696752043559049767492857823789842432.000000000000000000
319.5   Washburn                      538432747225147962594862696752043559049767492857823789842432.000000000000000000
319.5   Franklin                      538432747225147962594862696752043559049767492857823789842432.000000000000000000
319.5   Utah                          538432747225147962594862696752043559049767492857823789842432.000000000000000000
